127.0.0.1 - - [19/Mar/2023:11:20:23 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:23 +0800] "GET /openGaussPlatform/index.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:23 +0800] "GET /openGaussPlatform/img4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:23 +0800] "GET /openGaussPlatform/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:24 +0800] "GET /openGaussPlatform/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:24 +0800] "GET /openGaussPlatform/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:20:35 +0800] "GET /openGaussPlatform/login_yanzheng?code=123456&pass=123456 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:25:02 +0800] "GET /openGaussPlatform/login_yanzheng?code=123456&pass=123456 HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:25:04 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:25:13 +0800] "GET /openGaussPlatform/mingling?strinG=select+*+from+mytable HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:25:16 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:26:11 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:26:21 +0800] "GET /openGaussPlatform/mingling?strinG=select+*from+mytable%3B HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:27:39 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [19/Mar/2023:11:27:48 +0800] "GET /openGaussPlatform/mingling?strinG=select+*+from+table%3B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:12:59:36 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [19/Mar/2023:13:00:24 +0800] "GET /openGaussPlatform/mingling?strinG=select+*+from+table%3B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:13:06:07 +0800] "GET /openGaussPlatform/mingling?strinG=select+username+from+mytable%3B HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:13:32:13 +0800] "GET /openGaussPlatform/main_system.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [19/Mar/2023:13:32:27 +0800] "GET /openGaussPlatform/mingling?strinG=select+username+form+users%3B HTTP/1.1" 200 -
